HIV.1_Prot_Name	Human_GeneId	Keywords	evidence.number
Nef	5062	associates with(7)/binds(2)/complexes with(1)/interacts with(2)	12
Nef	8907	binds(2)/complexes with(2)/interacts with(8)	12
p6	10015	binds(5)/interacts with(7)	12
Vpu	8945	binds(3)/interacts with(9)	12
Pr55(Gag)	10015	binds(3)/interacts with(8)	11
Tat	3690	binds( 1)/interacts with(10)	11
Vpr	1642	binds(2)/complexes with(2)/interacts with(7)	11
capsid	23534	binds(2)/interacts with(8)	10
Nef	3105	binds(3)/complexes with(2)/interacts with(5)	10
Nef	3932	binds(3)/complexes with(3)/interacts with(4)	10
p6	7251	binds(6)/complexes with(1)/interacts with(3)	10
Tat	3685	binds(1)/interacts with(9)	10
Envelope surface glycoprotein gp120	3458	interacts with(9)	9
integrase	6598	binds(3)/complexes with(1)/interacts with(5)	9
Nef	920	binds(3)/complexes with(1)/interacts with(5)	9
Tat	3688	binds(1)/interacts with(8)	9
Tat	6908	binds(2)/interacts with(7)	9
Vpr	8451	binds(1)/complexes with(2)/interacts with(6)	9
capsid	5903	binds(1)/interacts with(7)	8
Envelope surface glycoprotein gp120	4153	binds(4)/complexes with(3)/interacts with(1)	8
nucleocapsid	60489	associates with(1)/complexes with(2)/interacts with(5)	8
Tat	4790	acetylates(1)/binds(1)/interacts with(6)	8
Tat	5970	acetylates(1)/binds(2)/interacts with(5)	8
Vpr	7374	binds(5)/complexes with(2)/interacts with(1)	8
Vpu	920	binds(2)/interacts with(6)	8
capsid	85363	binds(4)/complexes with(1)/interacts with(2)	7
Envelope surface glycoprotein gp120	1232	binds(6)/interacts with(1)	7
Envelope surface glycoprotein gp120	7841	complexes with(1)/glycosylated by(1)/interacts with(1)/processed by(4)	7
integrase	23534	binds(5)/complexes with(1)/interacts with(1)	7
Pr55(Gag)	6780	complexes with(2)/interacts with(5)	7
Rev	1653	binds(1)/interacts with(6)	7
Tat	8850	acetylated by(2)/binds(2)/complexes with(1)/interacts with(2)	7
capsid	9972	binds(4)/interacts with(2)	6
Envelope surface glycoprotein gp120	355	interacts with(6)	6
Envelope surface glycoprotein gp120	1432	interacts with(6)	6
Envelope surface glycoprotein gp120	4790	interacts with(6)	6
Envelope surface glycoprotein gp120	7124	interacts with(6)	6
Envelope surface glycoprotein gp120	23193	glycosylated by(1)/interacts with(1)/processed by(4)	6
Envelope transmembrane glycoprotein gp41	1234	complexes with(3)/interacts with(3)	6
Pr55(Gag)	4734	binds(1)/interacts with(2)/ubiquitinated by(3)	6
Pr55(Gag)	6059	associates with(3)/interacts with(3)	6
Rev	1984	binds(3)/interacts with(3)	6
Tat	1017	binds(1)/interacts with(2)/phosphorylated by(3)	6
Tat	5610	binds(1)/interacts with(2)/phosphorylated by(3)	6
Tat	6667	binds(1)/interacts with(5)	6
Tat	27125	binds(1)/complexes with(3)/interacts with(2)	6
Envelope surface glycoprotein gp120	213	binds(4)/interacts with(1)	5
Envelope surface glycoprotein gp120	718	binds(3)/interacts with(2)	5
Envelope surface glycoprotein gp120	2548	glycosylated by(1)/processed by(4)	5
Envelope surface glycoprotein gp120	2595	glycosylated by(1)/processed by(4)	5
Envelope surface glycoprotein gp120	3107	complexes with(1)/interacts with(4)	5
Envelope surface glycoprotein gp120	5578	interacts with(5)	5
Envelope surface glycoprotein gp120	5579	interacts with(5)	5
Envelope surface glycoprotein gp120	5580	interacts with(5)	5
Envelope surface glycoprotein gp120	5581	interacts with(5)	5
Envelope surface glycoprotein gp120	5582	interacts with(5)	5
Envelope surface glycoprotein gp120	5583	interacts with(5)	5
Envelope surface glycoprotein gp120	5584	interacts with(5)	5
Envelope surface glycoprotein gp120	5588	interacts with(5)	5
Envelope surface glycoprotein gp120	5590	interacts with(5)	5
Envelope surface glycoprotein gp160, precursor	821	binds(2)/interacts with(3)	5
Envelope transmembrane glycoprotein gp41	7852	complexes with(2)/interacts with(3)	5
integrase	3840	binds(3)/complexes with(1)/interacts with(1)	5
matrix	801	binds(4)/interacts with(1)	5
matrix	3577	binds(3)/interacts with(2)	5
matrix	3579	binds(3)/interacts with(2)	5
Nef	160	binds(5)	5
Nef	1915	binds(1)/complexes with(3)/interacts with(1)	5
Nef	3106	binds(1)/complexes with(1)/interacts with(3)	5
Nef	55690	binds(3)/interacts with(2)	5
Pr55(Gag)	60	binds(1)/complexes with(1)/interacts with(3)	5
Pr55(Gag)	3106	associates with(1)/interacts with(4)	5
Pr55(Gag)	5594	interacts with(2)/phosphorylated by(3)	5
Rev	4869	associates with(1)/binds(2)/interacts with(2)	5
reverse transcriptase	60489	binds(2)/interacts with(3)	5
Tat	1022	binds(2)/interacts with(3)	5
Tat	1387	acetylated by(1)/associates with(1)/binds(2)/interacts with(1)	5
Tat	2033	acetylated by(1)/binds(1)/complexes with(1)/interacts with(2)	5
Tat	2959	binds(1)/interacts with(4)	5
Tat	3458	interacts with(5)	5
Tat	7124	interacts with(5)	5
Tat	51574	complexes with(2)/interacts with(3)	5
Tat	56257	complexes with(2)/interacts with(3)	5
Vif	9616	complexes with(2)/interacts with(3)	5
Vpr	3836	binds(2)/interacts with(3)	5
Vpr	3838	binds(3)/interacts with(2)	5
Vpr	5886	binds(4)/complexes with(1)	5
Vpr	10980	binds(1)/interacts with(4)	5
capsid	3735	binds(2)/interacts with(2)	4
Envelope surface glycoprotein gp120	356	interacts with(4)	4
Envelope surface glycoprotein gp120	721	binds(3)/interacts with(1)	4
Envelope surface glycoprotein gp120	1755	binds(2)/interacts with(2)	4
Envelope surface glycoprotein gp120	1803	interacts with(4)	4
Envelope surface glycoprotein gp120	3383	interacts with(4)	4
Envelope surface glycoprotein gp120	3683	interacts with(4)	4
Envelope surface glycoprotein gp120	3998	binds(4)	4
Envelope surface glycoprotein gp120	4360	binds(3)/interacts with(1)	4
Envelope surface glycoprotein gp120	6387	interacts with(4)	4
Envelope surface glycoprotein gp120	9902	binds(3)/interacts with(1)	4
Envelope surface glycoprotein gp160, precursor	10226	binds(3)/interacts with(1)	4
Envelope surface glycoprotein gp160, precursor	30835	binds(4)	4
integrase	3838	binds(1)/complexes with(1)/interacts with(2)	4
integrase	8655	interacts with(4)	4
integrase	9972	binds(1)/interacts with(3)	4
integrase	60489	binds(1)/complexes with(1)/interacts with(2)	4
matrix	5594	interacts with(1)/phosphorylated by(3)	4
matrix	5595	interacts with(1)/phosphorylated by(3)	4
Nef	60	associates with(1)/complexes with(1)/interacts with(2)	4
Nef	164	binds(1)/interacts with(3)	4
Nef	1213	complexes with(2)/interacts with(2)	4
Nef	3107	binds(1)/complexes with(1)/interacts with(2)	4
Nef	3190	complexes with(3)/interacts with(1)	4
Nef	3313	binds(1)/complexes with(1)/interacts with(2)	4
Nef	5058	associates with(2)/interacts with(2)	4
Nef	5295	associates with(1)/binds(1)/complexes with(1)/interacts with(1)	4
Nef	6714	binds(2)/interacts with(2)	4
Nef	7852	interacts with(4)	4
Nef	10005	binds(2)/interacts with(2)	4
Nef	55770	binds(1)/interacts with(3)	4
p6	4734	interacts with(1)/ubiquitinated by(3)	4
Pr55(Gag)	1915	binds(3)/complexes with(1)	4
Pr55(Gag)	1938	binds(1)/interacts with(3)	4
Pr55(Gag)	3105	binds(1)/interacts with(3)	4
Pr55(Gag)	3107	complexes with(1)/interacts with(3)	4
Pr55(Gag)	3735	binds(2)/interacts with(2)	4
Pr55(Gag)	60489	associates with(1)/binds(1)/interacts with(2)	4
Pr55(Gag)	92140	interacts with(4)	4
Pr55(Gag)	128866	interacts with(4)	4
Rev	1457	binds(1)/interacts with(1)/phosphorylated by(2)	4
Rev	1459	binds(1)/interacts with(1)/phosphorylated by(2)	4
Rev	1460	binds(1)/interacts with(1)/phosphorylated by(2)	4
Rev	5901	binds(3)/interacts with(1)	4
Tat	902	binds(2)/interacts with(2)	4
Tat	1051	associates with(1)/binds(1)/interacts with(2)	4
Tat	3678	binds(1)/interacts with(3)	4
Tat	5290	interacts with(4)	4
Tat	5291	interacts with(4)	4
Tat	5293	interacts with(4)	4
Tat	5294	interacts with(4)	4
Tat	6872	binds(2)/interacts with(2)	4
Tat	6878	binds(1)/interacts with(3)	4
Tat	8148	binds(1)/interacts with(3)	4
Tat	9733	complexes with(1)/interacts with(3)	4
Vif	9978	complexes with(2)/interacts with(2)	4
Vif	27350	binds(1)/interacts with(3)	4
Vif	54476	binds(3)/interacts with(1)	4
Vpr	995	binds(2)/complexes with(1)/interacts with(1)	4
Vpr	5518	binds(1)/interacts with(3)	4
capsid	914	interacts with(3)	3
capsid	11168	fractionates with(1)/interacts with(2)	3
Envelope surface glycoprotein gp120	572	interacts with(3)	3
Envelope surface glycoprotein gp120	836	associates with(1)/interacts with(2)	3
Envelope surface glycoprotein gp120	966	interacts with(3)	3
Envelope surface glycoprotein gp120	1237	associates with(1)/binds(1)/interacts with(1)	3
Envelope surface glycoprotein gp120	2316	binds(1)/complexes with(1)/interacts with(1)	3
Envelope surface glycoprotein gp120	2770	complexes with(1)/interacts with(2)	3
Envelope surface glycoprotein gp120	2771	complexes with(1)/interacts with(2)	3
Envelope surface glycoprotein gp120	2773	complexes with(1)/interacts with(2)	3
Envelope surface glycoprotein gp120	3122	interacts with(3)	3
Envelope surface glycoprotein gp120	3123	interacts with(3)	3
Envelope surface glycoprotein gp120	3125	interacts with(3)	3
Envelope surface glycoprotein gp120	3126	interacts with(3)	3
Envelope surface glycoprotein gp120	3127	interacts with(3)	3
Envelope surface glycoprotein gp120	3133	complexes with(1)/interacts with(2)	3
Envelope surface glycoprotein gp120	3689	interacts with(3)	3
Envelope surface glycoprotein gp120	3932	interacts with(3)	3
Envelope surface glycoprotein gp120	6348	interacts with(3)	3
Envelope surface glycoprotein gp120	6375	interacts with(3)	3
Envelope surface glycoprotein gp120	7157	interacts with(3)	3
Envelope surface glycoprotein gp120	8459	interacts with(2)/sulfated by(1)	3
Envelope surface glycoprotein gp120	9368	interacts with(3)	3
Envelope surface glycoprotein gp120	10332	binds(3)	3
Envelope surface glycoprotein gp120	10663	binds(1)/interacts with(2)	3
Envelope surface glycoprotein gp120	10954	interacts with(3)	3
Envelope surface glycoprotein gp120	11253	interacts with(1)/processed by(2)	3
Envelope surface glycoprotein gp120	50856	binds(3)	3
Envelope surface glycoprotein gp120	57704	glycosylated by(1)/processed by(2)	3
Envelope surface glycoprotein gp120	57733	glycosylated by(1)/processed by(2)	3
Envelope surface glycoprotein gp120	116443	binds(1)/interacts with(2)	3
Envelope surface glycoprotein gp120	116444	binds(1)/interacts with(2)	3
Envelope surface glycoprotein gp120	729230	associates with(1)/binds(1)/interacts with(1)	3
Envelope surface glycoprotein gp160, precursor	2530	interacts with(2)/processed by(1)	3
Envelope surface glycoprotein gp160, precursor	2923	interacts with(2)/processed by(1)	3
Envelope surface glycoprotein gp160, precursor	3683	interacts with(3)	3
Envelope surface glycoprotein gp160, precursor	23193	interacts with(1)/processed by(2)	3
Envelope surface glycoprotein gp160, precursor	64714	binds(1)/interacts with(1)/processed by(1)	3
Envelope transmembrane glycoprotein gp41	712	binds(2)/interacts with(1)	3
Envelope transmembrane glycoprotein gp41	713	binds(2)/interacts with(1)	3
Envelope transmembrane glycoprotein gp41	714	binds(2)/interacts with(1)	3
Envelope transmembrane glycoprotein gp41	7097	binds(2)/interacts with(1)	3
Envelope transmembrane glycoprotein gp41	8907	interacts with(3)	3
Envelope transmembrane glycoprotein gp41	10053	interacts with(3)	3
integrase	1915	binds(2)/interacts with(1)	3
integrase	2547	associates with(1)/binds(1)/interacts with(1)	3
integrase	3836	binds(1)/complexes with(1)/interacts with(1)	3
integrase	3839	binds(1)/complexes with(1)/interacts with(1)	3
integrase	3841	binds(1)/complexes with(1)/interacts with(1)	3
integrase	8487	binds(1)/interacts with(2)	3
matrix	805	binds(3)	3
matrix	808	binds(3)	3
matrix	1915	binds(3)	3
Nef	238	interacts with(3)	3
Nef	801	binds(1)/interacts with(2)	3
Nef	821	complexes with(1)/interacts with(2)	3
Nef	941	binds(2)/interacts with(1)	3
Nef	1173	complexes with(1)/interacts with(2)	3
Nef	1175	binds(3)	3
Nef	1211	complexes with(2)/interacts with(1)	3
Nef	1212	complexes with(2)/interacts with(1)	3
Nef	2534	binds(3)	3
Nef	4217	binds(2)/interacts with(1)	3
Nef	4836	interacts with(2)/myristoylated by(1)	3
Nef	5290	complexes with(1)/interacts with(2)	3
Nef	5291	complexes with(1)/interacts with(2)	3
Nef	5294	complexes with(1)/interacts with(2)	3
Nef	5296	associates with(1)/complexes with(1)/interacts with(1)	3
Nef	5580	complexes with(3)	3
Nef	5588	complexes with(2)/interacts with(1)	3
Nef	7186	binds(1)/interacts with(2)	3
Nef	7189	binds(1)/interacts with(2)	3
Nef	7409	associates with(1)/binds(2)	3
Nef	10015	binds(1)/interacts with(2)	3
Nef	60412	binds(1)/interacts with(2)	3
p6	7314	ubiquitinated by(3)	3
p6	7316	ubiquitinated by(3)	3
p6	23327	interacts with(3)	3
Pr55(Gag)	58	interacts with(3)	3
Pr55(Gag)	71	binds(1)/interacts with(2)	3
Pr55(Gag)	967	interacts with(3)	3
Pr55(Gag)	3458	binds(1)/interacts with(2)	3
Pr55(Gag)	3708	associates with(1)/interacts with(2)	3
Pr55(Gag)	3709	associates with(1)/interacts with(2)	3
Pr55(Gag)	3710	associates with(1)/interacts with(2)	3
Pr55(Gag)	4343	binds(1)/complexes with(1)/interacts with(1)	3
Pr55(Gag)	4691	binds(1)/complexes with(1)/fractionates with(1)	3
Pr55(Gag)	5584	binds(1)/interacts with(1)/phosphorylated by(1)	3
Pr55(Gag)	5590	binds(1)/interacts with(1)/phosphorylated by(1)	3
Pr55(Gag)	6404	associates with(3)	3
Pr55(Gag)	6693	associates with(3)	3
Pr55(Gag)	7329	interacts with(3)	3
Rev	60	associates with(3)	3
Rev	708	binds(3)	3
Rev	1654	interacts with(3)	3
Rev	3178	interacts with(3)	3
Rev	3267	binds(3)	3
Rev	3837	binds(2)/interacts with(1)	3
reverse transcriptase	1994	interacts with(3)	3
Tat	58	interacts with(3)	3
Tat	142	binds(1)/interacts with(1)/modified by(1)	3
Tat	596	interacts with(3)	3
Tat	1269	interacts with(3)	3
Tat	1653	binds(1)/interacts with(2)	3
Tat	2068	binds(1)/interacts with(2)	3
Tat	2071	binds(1)/interacts with(2)	3
Tat	2547	interacts with(3)	3
Tat	2648	acetylated by(1)/binds(2)	3
Tat	2904	associates with(1)/interacts with(2)	3
Tat	2932	interacts with(3)	3
Tat	2965	binds(1)/interacts with(2)	3
Tat	2966	binds(1)/interacts with(2)	3
Tat	2967	binds(1)/interacts with(2)	3
Tat	2968	binds(1)/interacts with(2)	3
Tat	3693	binds(1)/interacts with(2)	3
Tat	4299	complexes with(1)/interacts with(2)	3
Tat	4331	binds(1)/interacts with(2)	3
Tat	4791	binds(1)/interacts with(2)	3
Tat	4869	binds(1)/complexes with(1)/interacts with(1)	3
Tat	5286	interacts with(3)	3
Tat	5287	interacts with(3)	3
Tat	5288	interacts with(3)	3
Tat	5289	interacts with(3)	3
Tat	5295	interacts with(3)	3
Tat	5296	interacts with(3)	3
Tat	5430	complexes with(2)/interacts with(1)	3
Tat	5496	binds(1)/complexes with(1)/interacts with(1)	3
Tat	5499	binds(1)/interacts with(2)	3
Tat	5500	interacts with(3)	3
Tat	5591	binds(2)/phosphorylated by(1)	3
Tat	6382	binds(2)/interacts with(1)	3
Tat	6873	binds(1)/interacts with(2)	3
Tat	6874	binds(1)/interacts with(2)	3
Tat	6875	binds(1)/interacts with(2)	3
Tat	6877	binds(1)/interacts with(2)	3
Tat	6879	binds(1)/interacts with(2)	3
Tat	6880	binds(1)/interacts with(2)	3
Tat	6881	binds(1)/interacts with(2)	3
Tat	6882	binds(1)/interacts with(2)	3
Tat	6883	binds(1)/interacts with(2)	3
Tat	6884	binds(1)/interacts with(2)	3
Tat	7099	interacts with(3)	3
Tat	7157	binds(2)/interacts with(1)	3
Tat	9044	binds(1)/interacts with(2)	3
Tat	10614	interacts with(3)	3
Tat	23476	interacts with(3)	3
Tat	55170	interacts with(1)/methylated by(2)	3
Tat	83860	binds(1)/interacts with(2)	3
Tat	129685	binds(1)/interacts with(2)	3
Vif	4193	binds(2)/interacts with(1)	3
Vif	10013	binds(1)/complexes with(1)/interacts with(1)	3
Vif	11262	binds(2)/interacts with(1)	3
Vif	81631	binds(2)/interacts with(1)	3
Vif	84557	binds(2)/interacts with(1)	3
Vif	140739	interacts with(3)	3
Vif	164668	interacts with(3)	3
Vif	440738	binds(2)/interacts with(1)	3
Vpr	291	binds(3)	3
Vpr	545	interacts with(3)	3
Vpr	2033	binds(2)/interacts with(1)	3
Vpr	2908	complexes with(1)/interacts with(2)	3
Vpr	80198	complexes with(1)/interacts with(2)	3
Vpr	84464	complexes with(1)/interacts with(2)	3
Vpu	1460	phosphorylated by(3)	3
Vpu	6449	binds(1)/interacts with(2)	3
capsid	916	interacts with(2)	2
capsid	917	interacts with(2)	2
capsid	919	interacts with(2)	2
capsid	3002	interacts with(2)	2
capsid	3383	interacts with(2)	2
capsid	3945	associates with(1)/interacts with(1)	2
capsid	5479	binds(1)/interacts with(1)	2
capsid	7097	binds(2)	2
capsid	9638	binds(1)/interacts with(1)	2
capsid	53840	binds(2)	2
capsid	117854	binds(2)	2
Envelope surface glycoprotein gp120	60	complexes with(1)/interacts with(1)	2
Envelope surface glycoprotein gp120	187	binds(1)/interacts with(1)	2
Envelope surface glycoprotein gp120	581	interacts with(2)	2
Envelope surface glycoprotein gp120	712	binds(1)/interacts with(1)	2
Envelope surface glycoprotein gp120	713	binds(1)/interacts with(1)	2
Envelope surface glycoprotein gp120	714	binds(1)/interacts with(1)	2
Envelope surface glycoprotein gp120	727	binds(2)	2
Envelope surface glycoprotein gp120	821	associates with(1)/complexes with(1)	2
Envelope surface glycoprotein gp120	834	interacts with(2)	2
Envelope surface glycoprotein gp120	871	complexes with(1)/interacts with(1)	2
Envelope surface glycoprotein gp120	915	interacts with(2)	2
Envelope surface glycoprotein gp120	916	interacts with(2)	2
Envelope surface glycoprotein gp120	917	interacts with(2)	2
Envelope surface glycoprotein gp120	952	interacts with(2)	2
Envelope surface glycoprotein gp120	1269	interacts with(2)	2
Envelope surface glycoprotein gp120	1536	interacts with(2)	2
Envelope surface glycoprotein gp120	1604	interacts with(2)	2
Envelope surface glycoprotein gp120	1667	binds(2)	2
Envelope surface glycoprotein gp120	2335	binds(2)	2
Envelope surface glycoprotein gp120	2902	binds(1)/interacts with(1)	2
Envelope surface glycoprotein gp120	2903	binds(1)/interacts with(1)	2
Envelope surface glycoprotein gp120	2904	binds(1)/interacts with(1)	2
Envelope surface glycoprotein gp120	2905	binds(1)/interacts with(1)	2
Envelope surface glycoprotein gp120	2906	binds(1)/interacts with(1)	2
Envelope surface glycoprotein gp120	2907	binds(1)/interacts with(1)	2
Envelope surface glycoprotein gp120	2923	interacts with(2)	2
Envelope surface glycoprotein gp120	3075	interacts with(2)	2
Envelope surface glycoprotein gp120	3105	complexes with(1)/interacts with(1)	2
Envelope surface glycoprotein gp120	3106	complexes with(1)/interacts with(1)	2
Envelope surface glycoprotein gp120	3134	complexes with(1)/interacts with(1)	2
Envelope surface glycoprotein gp120	3135	complexes with(1)/interacts with(1)	2
Envelope surface glycoprotein gp120	3339	interacts with(2)	2
Envelope surface glycoprotein gp120	3371	binds(2)	2
Envelope surface glycoprotein gp120	3685	interacts with(2)	2
Envelope surface glycoprotein gp120	3956	binds(1)/interacts with(1)	2
Envelope surface glycoprotein gp120	4046	associates with(1)/interacts with(1)	2
Envelope surface glycoprotein gp120	4121	processed by(2)	2
Envelope surface glycoprotein gp120	4122	processed by(2)	2
Envelope surface glycoprotein gp120	4123	processed by(2)	2
Envelope surface glycoprotein gp120	4124	processed by(2)	2
Envelope surface glycoprotein gp120	4125	processed by(2)	2
Envelope surface glycoprotein gp120	4126	processed by(2)	2
Envelope surface glycoprotein gp120	4247	processed by(2)	2
Envelope surface glycoprotein gp120	4758	processed by(2)	2
Envelope surface glycoprotein gp120	4759	processed by(2)	2
Envelope surface glycoprotein gp120	5034	interacts with(2)	2
Envelope surface glycoprotein gp120	5196	binds(2)	2
Envelope surface glycoprotein gp120	5199	binds(2)	2
Envelope surface glycoprotein gp120	5566	interacts with(2)	2
Envelope surface glycoprotein gp120	5567	interacts with(2)	2
Envelope surface glycoprotein gp120	5568	interacts with(2)	2
Envelope surface glycoprotein gp120	5610	interacts with(2)	2
Envelope surface glycoprotein gp120	5788	interacts with(2)	2
Envelope surface glycoprotein gp120	6091	interacts with(2)	2
Envelope surface glycoprotein gp120	6351	interacts with(2)	2
Envelope surface glycoprotein gp120	6383	binds(2)	2
Envelope surface glycoprotein gp120	6441	binds(2)	2
Envelope surface glycoprotein gp120	6614	interacts with(2)	2
Envelope surface glycoprotein gp120	7040	interacts with(2)	2
Envelope surface glycoprotein gp120	7057	binds(2)	2
Envelope surface glycoprotein gp120	7133	interacts with(2)	2
Envelope surface glycoprotein gp120	7295	interacts with(1)/modified by(1)	2
Envelope surface glycoprotein gp120	7368	binds(1)/interacts with(1)	2
Envelope surface glycoprotein gp120	7454	associates with(1)/interacts with(1)	2
Envelope surface glycoprotein gp120	9601	interacts with(2)	2
Envelope surface glycoprotein gp120	10130	interacts with(2)	2
Envelope surface glycoprotein gp120	10825	processed by(2)	2
Envelope surface glycoprotein gp120	10905	processed by(2)	2
Envelope surface glycoprotein gp120	23324	processed by(2)	2
Envelope surface glycoprotein gp120	29927	complexes with(1)/interacts with(1)	2
Envelope surface glycoprotein gp120	57134	processed by(2)	2
Envelope surface glycoprotein gp120	64714	interacts with(2)	2
Envelope surface glycoprotein gp120	170482	binds(1)/interacts with(1)	2
Envelope surface glycoprotein gp120	653509	binds(1)/interacts with(1)	2
Envelope surface glycoprotein gp160, precursor	801	binds(2)	2
Envelope surface glycoprotein gp160, precursor	805	binds(2)	2
Envelope surface glycoprotein gp160, precursor	808	binds(2)	2
Envelope surface glycoprotein gp160, precursor	811	binds(1)/interacts with(1)	2
Envelope surface glycoprotein gp160, precursor	1047	interacts with(2)	2
Envelope surface glycoprotein gp160, precursor	2548	processed by(2)	2
Envelope surface glycoprotein gp160, precursor	2595	processed by(2)	2
Envelope surface glycoprotein gp160, precursor	3105	binds(1)/interacts with(1)	2
Envelope surface glycoprotein gp160, precursor	3122	associates with(1)/interacts with(1)	2
Envelope surface glycoprotein gp160, precursor	3123	associates with(1)/interacts with(1)	2
Envelope surface glycoprotein gp160, precursor	3125	associates with(1)/interacts with(1)	2
Envelope surface glycoprotein gp160, precursor	3126	associates with(1)/interacts with(1)	2
Envelope surface glycoprotein gp160, precursor	3127	associates with(1)/interacts with(1)	2
Envelope surface glycoprotein gp160, precursor	3133	interacts with(2)	2
Envelope surface glycoprotein gp160, precursor	3309	interacts with(2)	2
Envelope surface glycoprotein gp160, precursor	3371	binds(2)	2
Envelope surface glycoprotein gp160, precursor	3383	interacts with(2)	2
Envelope surface glycoprotein gp160, precursor	3689	interacts with(2)	2
Envelope surface glycoprotein gp160, precursor	3998	interacts with(2)	2
Envelope surface glycoprotein gp160, precursor	5034	interacts with(1)/processed by(1)	2
Envelope surface glycoprotein gp160, precursor	5245	binds(1)/interacts with(1)	2
Envelope surface glycoprotein gp160, precursor	5371	interacts with(2)	2
Envelope surface glycoprotein gp160, precursor	6400	interacts with(2)	2
Envelope surface glycoprotein gp160, precursor	7841	processed by(2)	2
Envelope surface glycoprotein gp160, precursor	8907	interacts with(2)	2
Envelope surface glycoprotein gp160, precursor	9601	interacts with(1)/processed by(1)	2
Envelope surface glycoprotein gp160, precursor	10130	interacts with(1)/processed by(1)	2
Envelope surface glycoprotein gp160, precursor	10211	interacts with(2)	2
Envelope surface glycoprotein gp160, precursor	10956	interacts with(2)	2
Envelope surface glycoprotein gp160, precursor	10960	interacts with(2)	2
Envelope surface glycoprotein gp160, precursor	23753	interacts with(2)	2
Envelope surface glycoprotein gp160, precursor	50856	binds(2)	2
Envelope surface glycoprotein gp160, precursor	51290	interacts with(2)	2
Envelope surface glycoprotein gp160, precursor	51614	interacts with(2)	2
Envelope surface glycoprotein gp160, precursor	51726	interacts with(2)	2
Envelope surface glycoprotein gp160, precursor	81502	interacts with(2)	2
Envelope transmembrane glycoprotein gp41	160	interacts with(2)	2
Envelope transmembrane glycoprotein gp41	161	interacts with(2)	2
Envelope transmembrane glycoprotein gp41	162	interacts with(2)	2
Envelope transmembrane glycoprotein gp41	163	interacts with(2)	2
Envelope transmembrane glycoprotein gp41	164	interacts with(2)	2
Envelope transmembrane glycoprotein gp41	836	interacts with(2)	2
Envelope transmembrane glycoprotein gp41	857	binds(2)	2
Envelope transmembrane glycoprotein gp41	972	binds(1)/interacts with(1)	2
Envelope transmembrane glycoprotein gp41	1173	interacts with(2)	2
Envelope transmembrane glycoprotein gp41	1174	interacts with(2)	2
Envelope transmembrane glycoprotein gp41	1175	interacts with(2)	2
Envelope transmembrane glycoprotein gp41	2358	interacts with(2)	2
Envelope transmembrane glycoprotein gp41	3075	interacts with(2)	2
Envelope transmembrane glycoprotein gp41	3998	binds(1)/interacts with(1)	2
Envelope transmembrane glycoprotein gp41	8905	interacts with(2)	2
Envelope transmembrane glycoprotein gp41	8906	interacts with(2)	2
Envelope transmembrane glycoprotein gp41	9559	binds(1)/interacts with(1)	2
Envelope transmembrane glycoprotein gp41	10226	binds(2)	2
Envelope transmembrane glycoprotein gp41	10488	interacts with(2)	2
Envelope transmembrane glycoprotein gp41	79694	processed by(2)	2
Envelope transmembrane glycoprotein gp41	130340	interacts with(2)	2
Gag-Pol	2597	complexes with(1)/interacts with(1)	2
Gag-Pol	60489	interacts with(2)	2
integrase	472	interacts with(2)	2
integrase	1616	interacts with(2)	2
integrase	2033	acetylated by(2)	2
